É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2026/08/01 13:00:25

,éDñy,éDñy
2024/7/16,30.1,21.0
2024/7/17,31.4,21.4
2024/7/18,33.4,21.2
2024/7/19,25.3,22.9
2024/7/20,33.0,23.6
2024/7/21,34.7,22.3
2024/7/22,34.7,23.9
2024/7/23,31.4,25.6
2024/7/24,27.8,20.2
2024/7/25,26.8,19.0
2024/7/26,28.9,20.6
2024/7/27,25.7,20.7
2024/7/28,27.4,20.7
2024/7/29,24.1,21.9
2024/7/30,28.2,21.3
2024/7/31,25.7,20.9
2024/8/1,28.4,20.5
2024/8/2,30.0,23.2
2024/8/3,29.5,22.9
2024/8/4,22.9,20.4
2024/8/5,24.4,19.9
2024/8/6,26.4,20.7
2024/8/7,32.0,21.8
2024/8/8,30.1,23.7
2024/8/9,30.2,24.8
2024/8/10,28.6,24.1
2024/8/11,29.4,22.1
2024/8/12,34.1,23.3
2024/8/13,28.5,25.0
2024/8/14,28.5,23.4
2024/8/15,27.6,22.3
2024/8/16,29.3,23.1
2024/8/17,27.6,22.5
2024/8/18,25.8,21.1
2024/8/19,29.4,19.8
2024/8/20,25.1,19.4
2024/8/21,28.7,18.2
2024/8/22,25.7,19.6
2024/8/23,30.7,23.7
2024/8/24,29.0,21.8
2024/8/25,28.9,20.2
2024/8/26,28.3,21.5
2024/8/27,25.2,19.5
2024/8/28,28.5,19.8
2024/8/29,30.6,19.8
2024/8/30,30.3,23.5
2024/8/31,28.0,21.2
2024/9/1,29.0,18.3
2024/9/2,27.0,18.8
2024/9/3,27.8,18.2
2024/9/4,28.6,16.8
2024/9/5,27.6,20.4
2024/9/6,25.9,17.2
2024/9/7,26.7,15.8
2024/9/8,31.5,17.2
2024/9/9,27.1,19.1
2024/9/10,27.7,19.4
2024/9/11,25.8,18.1
2024/9/12,26.4,18.0
2024/9/13,27.4,16.6
2024/9/14,23.7,13.4
2024/9/15,19.3,14.5
2024/9/16,23.6,12.0
2024/9/17,24.7,17.6
2024/9/18,25.0,16.3
2024/9/19,23.7,14.0
2024/9/20,23.0,15.4
2024/9/21,17.2,11.2
2024/9/22,17.3,11.3
2024/9/23,19.8,10.0
2024/9/24,22.2,10.1
2024/9/25,21.0,13.6
2024/9/26,24.4,17.3
2024/9/27,23.8,17.8
2024/9/28,22.5,15.8
2024/9/29,23.0,12.5
2024/9/30,22.3,14.3
2024/10/1,26.3,15.1
2024/10/2,22.0,15.0
2024/10/3,16.8,12.1
2024/10/4,15.2,12.0
2024/10/5,21.3,12.4
2024/10/6,22.5,10.9
2024/10/7,18.1,14.2
2024/10/8,19.4,11.3
2024/10/9,17.7,8.1
2024/10/10,18.4,7.4
2024/10/11,18.1,7.7
2024/10/12,21.1,8.2
2024/10/13,17.6,9.3
2024/10/14,20.3,7.2
2024/10/15,21.1,15.0
2024/10/16,18.6,8.7
2024/10/17,20.2,6.5
2024/10/18,18.9,7.6
2024/10/19,18.5,5.1
2024/10/20,10.7,2.8
2024/10/21,15.1,3.6
2024/10/22,20.3,10.7
2024/10/23,20.8,15.9
2024/10/24,19.3,9.4
2024/10/25,16.6,7.7
2024/10/26,17.3,6.7
2024/10/27,16.4,5.8
2024/10/28,14.4,6.2
2024/10/29,14.6,4.5
2024/10/30,14.8,4.0
2024/10/31,15.9,7.3
2024/11/1,12.1,7.8
2024/11/2,15.5,7.1
2024/11/3,12.2,6.6
2024/11/4,14.8,6.0
2024/11/5,8.8,3.9
2024/11/6,8.9,0.5
2024/11/7,4.2,0.7
2024/11/8,6.9,0.4
2024/11/9,9.5,2.1
2024/11/10,14.1,0.8
2024/11/11,14.6,3.7
2024/11/12,13.1,1.9
2024/11/13,8.1,3.0
2024/11/14,10.2,0.8
2024/11/15,14.9,6.3
2024/11/16,13.8,4.0
2024/11/17,15.7,2.9
2024/11/18,3.4,-2.9
2024/11/19,3.0,-3.0
2024/11/20,9.3,0.7
2024/11/21,9.6,1.3
2024/11/22,7.5,1.2
2024/11/23,8.0,-0.7
2024/11/24,3.2,-1.4
2024/11/25,6.8,1.5
2024/11/26,9.9,-0.9
2024/11/27,13.4,6.6
2024/11/28,8.8,2.4
2024/11/29,4.6,-0.9
2024/11/30,2.1,-1.2
2024/12/1,5.5,-0.9
2024/12/2,7.8,-1.9
2024/12/3,8.3,-0.3
2024/12/4,3.7,-1.7
2024/12/5,2.4,-2.3
2024/12/6,0.9,-4.4
2024/12/7,-0.6,-4.5
2024/12/8,0.6,-3.4
2024/12/9,2.0,-1.1
2024/12/10,3.9,-0.4
2024/12/11,1.4,-4.4
2024/12/12,-0.5,-5.0
2024/12/13,-1.2,-4.8
2024/12/14,-0.6,-4.6
2024/12/15,0.5,-4.4
2024/12/16,-3.3,-6.6
2024/12/17,-2.7,-8.0
2024/12/18,-0.7,-6.5
2024/12/19,1.5,-3.1
2024/12/20,-1.5,-6.9
2024/12/21,-2.8,-8.2
2024/12/22,-1.6,-5.6
2024/12/23,0.0,-7.0
2024/12/24,-0.5,-8.4
2024/12/25,2.1,-3.5
2024/12/26,3.7,-4.4
2024/12/27,-3.4,-6.5
2024/12/28,0.0,-6.9
2024/12/29,0.0,-5.1
2024/12/30,-0.5,-5.6
2024/12/31,-1.4,-5.5
